time, bid price, ask price, bid quantity, ask quantity, spread,
Mon Feb 10 23:17:41 2020, 9848.0, 9848.5, 471481.0, 2680229.0, 0.5 USD,
Mon Feb 10 23:17:43 2020, 9848.0, 9848.5, 488846.0, 2709383.0, 0.5 USD,
Mon Feb 10 23:17:45 2020, 9848.0, 9848.5, 466708.0, 2731631.0, 0.5 USD,
Mon Feb 10 23:17:47 2020, 9848.0, 9848.5, 466708.0, 2739831.0, 0.5 USD,
Mon Feb 10 23:17:49 2020, 9848.0, 9848.5, 427687.0, 3106458.0, 0.5 USD,
Mon Feb 10 23:17:51 2020, 9848.0, 9848.5, 436893.0, 3106457.0, 0.5 USD,
Mon Feb 10 23:17:53 2020, 9848.0, 9848.5, 436914.0, 3160749.0, 0.5 USD,
Mon Feb 10 23:17:55 2020, 9848.0, 9848.5, 386739.0, 3159458.0, 0.5 USD,
Mon Feb 10 23:17:57 2020, 9848.0, 9848.5, 571672.0, 3142642.0, 0.5 USD,
Mon Feb 10 23:17:59 2020, 9845.5, 9846.0, 359346.0, 2584568.0, 0.5 USD,
Mon Feb 10 23:18:01 2020, 9845.5, 9846.0, 344920.0, 2774405.0, 0.5 USD,
Mon Feb 10 23:18:04 2020, 9845.5, 9846.0, 308452.0, 2715238.0, 0.5 USD,
Mon Feb 10 23:18:06 2020, 9845.5, 9846.0, 313046.0, 2721169.0, 0.5 USD,
Mon Feb 10 23:18:08 2020, 9845.5, 9846.0, 274063.0, 2718151.0, 0.5 USD,
Mon Feb 10 23:18:10 2020, 9845.5, 9846.0, 274058.0, 2723201.0, 0.5 USD,
Mon Feb 10 23:18:12 2020, 9845.5, 9846.0, 259015.0, 2734117.0, 0.5 USD,
Mon Feb 10 23:18:14 2020, 9845.5, 9846.0, 258015.0, 2903431.0, 0.5 USD,
Mon Feb 10 23:18:16 2020, 9845.5, 9846.0, 253015.0, 2886308.0, 0.5 USD,
Mon Feb 10 23:18:18 2020, 9845.5, 9846.0, 248064.0, 2903431.0, 0.5 USD,
Mon Feb 10 23:18:20 2020, 9845.5, 9846.0, 238064.0, 2893164.0, 0.5 USD,
Mon Feb 10 23:18:22 2020, 9845.5, 9846.0, 238086.0, 2813110.0, 0.5 USD,
Mon Feb 10 23:18:24 2020, 9845.5, 9846.0, 242909.0, 2818714.0, 0.5 USD,
Mon Feb 10 23:18:26 2020, 9845.5, 9846.0, 242106.0, 2898710.0, 0.5 USD,
Mon Feb 10 23:18:28 2020, 9845.5, 9846.0, 245989.0, 2818710.0, 0.5 USD,
Mon Feb 10 23:18:30 2020, 9845.5, 9846.0, 229190.0, 2866710.0, 0.5 USD,
Mon Feb 10 23:18:32 2020, 9845.5, 9846.0, 228890.0, 2818451.0, 0.5 USD,
Mon Feb 10 23:18:34 2020, 9845.5, 9846.0, 228890.0, 3042573.0, 0.5 USD,
Mon Feb 10 23:18:36 2020, 9845.5, 9846.0, 228569.0, 2824306.0, 0.5 USD,
Mon Feb 10 23:18:38 2020, 9845.5, 9846.0, 712658.0, 2650077.0, 0.5 USD,
Mon Feb 10 23:18:40 2020, 9845.5, 9846.0, 735030.0, 2618051.0, 0.5 USD,
Mon Feb 10 23:18:42 2020, 9845.5, 9846.0, 729234.0, 2604116.0, 0.5 USD,
Mon Feb 10 23:18:44 2020, 9845.5, 9846.0, 752272.0, 2972537.0, 0.5 USD,
Mon Feb 10 23:18:46 2020, 9845.5, 9846.0, 359226.0, 2985713.0, 0.5 USD,
Mon Feb 10 23:18:48 2020, 9845.5, 9846.0, 671451.0, 2964313.0, 0.5 USD,
Mon Feb 10 23:18:50 2020, 9845.5, 9846.0, 2119375.0, 3233379.0, 0.5 USD,
Mon Feb 10 23:18:52 2020, 9845.5, 9846.0, 2112374.0, 3275461.0, 0.5 USD,
Mon Feb 10 23:18:54 2020, 9845.5, 9846.0, 2089907.0, 3271303.0, 0.5 USD,
Mon Feb 10 23:18:57 2020, 9845.5, 9846.0, 2113790.0, 3248455.0, 0.5 USD,
Mon Feb 10 23:18:59 2020, 9845.5, 9846.0, 2103290.0, 3249232.0, 0.5 USD,
Mon Feb 10 23:19:01 2020, 9845.5, 9846.0, 1780446.0, 3150025.0, 0.5 USD,
Mon Feb 10 23:19:03 2020, 9845.5, 9846.0, 1801933.0, 3102723.0, 0.5 USD,
Mon Feb 10 23:19:05 2020, 9845.5, 9846.0, 1798390.0, 3184639.0, 0.5 USD,
Mon Feb 10 23:19:07 2020, 9845.5, 9846.0, 1645081.0, 3094639.0, 0.5 USD,
Mon Feb 10 23:19:09 2020, 9845.5, 9846.0, 1845190.0, 3094979.0, 0.5 USD,
Mon Feb 10 23:19:11 2020, 9845.5, 9846.0, 1832315.0, 3105831.0, 0.5 USD,
Mon Feb 10 23:19:13 2020, 9845.5, 9846.0, 1827707.0, 3261797.0, 0.5 USD,
Mon Feb 10 23:19:15 2020, 9845.5, 9846.0, 1827607.0, 3261992.0, 0.5 USD,
Mon Feb 10 23:19:17 2020, 9845.5, 9846.0, 1827607.0, 3261215.0, 0.5 USD,
Mon Feb 10 23:19:19 2020, 9845.5, 9846.0, 1827607.0, 3261409.0, 0.5 USD,
Mon Feb 10 23:19:21 2020, 9845.5, 9846.0, 1820656.0, 3308071.0, 0.5 USD,
Mon Feb 10 23:19:23 2020, 9845.5, 9846.0, 1820626.0, 3308399.0, 0.5 USD,
Mon Feb 10 23:19:25 2020, 9845.5, 9846.0, 1800626.0, 3308629.0, 0.5 USD,
Mon Feb 10 23:19:27 2020, 9845.5, 9846.0, 1800626.0, 3296160.0, 0.5 USD,
Mon Feb 10 23:19:29 2020, 9845.5, 9846.0, 1800626.0, 3296160.0, 0.5 USD,
Mon Feb 10 23:19:31 2020, 9845.5, 9846.0, 1805641.0, 3293254.0, 0.5 USD,
Mon Feb 10 23:19:33 2020, 9845.5, 9846.0, 1806010.0, 3285661.0, 0.5 USD,
Mon Feb 10 23:19:35 2020, 9845.5, 9846.0, 1808047.0, 3265925.0, 0.5 USD,
Mon Feb 10 23:19:37 2020, 9845.5, 9846.0, 1806030.0, 3304521.0, 0.5 USD,
Mon Feb 10 23:19:39 2020, 9845.5, 9846.0, 1806030.0, 3278821.0, 0.5 USD,
